Date,Open,High,Low,Close,Volume,Quote_Volume,Trades_Count,Log_VolumeGain,pricegain,RSI
2023-02-01 05:37:00,19.63,19.63,19.61,19.61,1359.0,26673.0,58,98.47735867443923,-0.05091649694501932,0.0
2023-02-01 05:38:00,19.61,19.62,19.6,19.6,971.0,19025.0,42,-33.78979140593621,-0.10188487009679115,0.0
2023-02-01 05:39:00,19.6,19.61,19.58,19.58,1039.0,20350.0,64,6.732700814085453,-0.05099439061702071,0.0
2023-02-01 05:40:00,19.57,19.58,19.56,19.56,3219.0,62978.0,84,112.97045471669868,-0.1530612244898033,0.0
2023-02-01 05:41:00,19.57,19.57,19.56,19.57,655.0,12816.0,25,-159.20910687295876,0.0,14.285714285715741
2023-02-01 05:42:00,19.57,19.58,19.56,19.57,1344.0,26304.0,48,71.90266285477661,0.0,16.666666666668633
2023-02-01 05:43:00,19.57,19.57,19.57,19.57,330.0,6448.0,12,-140.59510136694422,0.0,20.00000000000142
2023-02-01 05:44:00,19.57,19.57,19.56,19.57,809.0,15817.0,41,89.73153057770247,0.0,33.33333333333728
2023-02-01 05:45:00,19.57,19.58,19.55,19.56,1944.0,38036.0,53,87.7447768695846,0.0,50.0
2023-02-01 05:46:00,19.57,19.58,19.56,19.57,949.0,18568.0,39,-71.70934107050618,0.0,50.0
2023-02-01 05:47:00,19.57,19.57,19.56,19.56,11.0,211.0,6,-447.7336814478207,0.0,33.33333333333333
2023-02-01 05:48:00,19.56,19.57,19.56,19.57,124.0,2435.0,9,244.58439020406234,-0.05109862033726431,50.0
